"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-04-23",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-04-24",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-04-25",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-04-26",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-04-27",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-04-28",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-04-29",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-04-30",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-05-01",,,"2.21",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-05-02",,,"0.47",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-05-03",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-05-04",,,"0.74",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-05-05",,,"0.07",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-05-06",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-05-07",,,"0.48",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-05-08",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-05-09",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-05-10",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-05-11",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-05-12",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-05-13",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-05-14",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-05-15",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-05-16",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-05-17",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-05-18",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-05-19",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-05-20",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-05-21",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-05-22",,,"0.04",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-05-23",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-05-24",,,"0.58",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-05-25",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-05-26",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-05-27",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-05-28",,,"0.21",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-05-29",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-05-30",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-05-31",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-06-01",,,"2.30",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-06-02",,,"0.23",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-06-03",,,"1.13",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-06-04",,,"0.15","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-06-05",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-06-06",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-06-07",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-06-08",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-06-09",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-06-10",,,"0.21",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-06-11",,,"1.25",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-06-12",,,"0.24",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-06-13",,,"0.23",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-06-14",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-06-15",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-06-16",,,"1.35",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-06-17",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-06-18",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-06-19",,,"0.06",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-06-20",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-06-21",,,"1.10",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-06-22",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-06-23",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-06-24",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-06-25",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-06-26",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-06-27",,,"1.41",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-06-28",,,"0.46",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-06-29",,,"0.88",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-06-30",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-07-01",,,"0.04",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-07-02",,,"0.98",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-07-03",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-07-04",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-07-05",,,"0.89",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-07-06",,,"0.50",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-07-07",,,"1.78",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-07-08",,,"0.12",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-07-09",,,"0.93",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-07-10",,,"0.57",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-07-11",,,"0.03",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-07-12",,,"0.17",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-07-13",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-07-14",,,"0.15",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-07-15",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-07-16",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-07-17",,,"0.35",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-07-18",,,"0.32",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-07-19",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-07-20",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-07-21",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-07-22",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-07-23",,,"0.74",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-07-24",,,"0.31",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-07-25",,,"0.13",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-07-26",,,"0.16",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-07-27",,,"1.70",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-07-28",,,"0.08",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-07-29",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-07-30",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-07-31",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-08-01",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-08-02",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-08-03",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-08-04",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-08-05",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-08-06",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-08-07",,,"0.21",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-08-08",,,"0.09",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-08-09",,,"0.14",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-08-10",,,"0.29",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-08-11",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-08-12",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-08-13",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-08-14",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-08-15",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-08-16",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-08-17",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-08-18",,,"0.20",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-08-19",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-08-20",,,"0.09",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-08-21",,,"0.13",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-08-22",,,"0.65",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-08-23",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-08-24",,,"0.30",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-08-25",,,"1.24",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-08-26",,,"0.54",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-08-27",,,"1.56",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-08-28",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-08-29",,,"0.70",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-08-30",,,"0.20",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-08-31",,,"0.46",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-09-01",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-09-02",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-09-03",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-09-04",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-09-05",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-09-06",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-09-07",,,"0.96",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-09-08",,,"0.51",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-09-09",,,"1.08",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-09-10",,,"0.61",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-09-11",,,"0.54",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-09-12",,,"0.05",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-09-13",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-09-14",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-09-15",,,"0.02",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-09-16",,,"0.61",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-09-17",,,"2.45",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-09-18",,,"2.49",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-09-19",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-09-20",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-09-21",,,"1.10",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-09-22",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-09-23",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-09-24",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-09-25",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-09-26",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-09-27",,,"0.40",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-09-28",,,"2.15",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-09-29",,,,"0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-09-30",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-10-01",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-10-02",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-10-03",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-10-04",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-10-05",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-10-06",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-10-07",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-10-08",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-10-09",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-10-10",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-10-11",,,"0.45",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-10-12",,,"0.19","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-10-13",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-10-14",,,"0.09",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-10-15",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-10-16",,,"0.93",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-10-17",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-10-18",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-10-19",,,"0.06",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-10-20",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-10-21",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-10-22",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-10-23",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-10-24",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-10-25",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-10-26",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-10-27",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-10-28",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-10-29",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-10-30",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-10-31",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-11-01",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-11-02",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-11-03",,,"1.01",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-11-04",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-11-05",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-11-06",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-11-07",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-11-08",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-11-09",,,"0.03",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-11-10",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-11-11",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-11-12",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-11-13",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-11-14",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-11-15",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-11-16",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-11-17",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-11-18",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-11-19",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-11-20",,,"0.08",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-11-21",,,"0.50",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-11-22",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-11-23",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-11-24",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-11-25",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-11-26",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-11-27",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-11-28",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-11-29",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-11-30",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-12-01",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-12-02",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-12-03",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-12-04",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-12-05",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-12-06",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-12-07",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-12-08",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-12-09",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-12-10",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-12-11",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-12-12",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-12-13",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-12-14",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-12-15",,,"1.09","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-12-16",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-12-17",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-12-18",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-12-19",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-12-20",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-12-21",,,"0.60",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-12-22",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-12-23",,,"0.90",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-12-24",,,"0.03",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-12-25",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-12-26",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-12-27",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-12-28",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-12-29",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-12-30",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2022-12-31",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2023-01-01",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2023-01-02",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2023-01-03",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2023-01-04",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2023-01-05",,,"0.55",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2023-01-06",,,"0.20",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2023-01-07",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2023-01-08",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2023-01-09",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2023-01-10",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2023-01-11",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2023-01-12",,,"0.56",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2023-01-13",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2023-01-14",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2023-01-15",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2023-01-16",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2023-01-17",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2023-01-18",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2023-01-19",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2023-01-20",,,"0.05",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2023-01-21",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2023-01-22",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2023-01-23",,,"0.62",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2023-01-24",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2023-01-25",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2023-01-26",,,"0.50",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2023-01-27",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2023-01-28",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2023-01-29",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2023-01-30",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2023-01-31",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2023-02-01",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2023-02-02",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2023-02-03",,,"0.02",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2023-02-04",,,"0.10",
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2023-02-05",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2023-02-06",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2023-02-07",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2023-02-08",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2023-02-09",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2023-02-10",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2023-02-11",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2023-02-12",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2023-02-13",,,"0.00","0.0"
"US1FLSS0063","SARASOTA 4.8 ENE, FL US","2023-02-14",,,"0.00","0.0"
